,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
801,,2021,CPCL-TOTAL,917.0,
802,,2021,BORL-BINA,694.0,
803,,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",8.0,
804,,2021,"HPCL-MUMBAI,MAHARASHTRA",639.0,
805,,2021,"IOCL-DIGBOI,ASSAM",22.0,
806,,2021,"NRL-NUMALIGARH, ASSAM",227.0,
807,,2021,"HMEL-GGSR, BATHINDA, PUNJAB",13.0,
808,,2021,HPCL-TOTAL,1392.0,
809,,2021,"IOCL-BARAUNI,BIHAR",569.0,
810,,2021,"IOCL-KOYALI, GUJARAT",944.0,
811,,2021,"IOCL-PANIPAT, HARYANA",1192.0,
812,,2021,"IOCL-GUWAHATI,ASSAM",89.0,
813,,2021,"BPCL-KOCHI, KERALA",1383.0,
814,,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1025.0,
815,,2021,"RIL,JAMNAGAR,GUJARAT",2839.0,
816,,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2051.0,
817,,2021,"NEL-VADINAR,GUJARAT",1627.0,
818,,2021,GRAND TOTAL,20985.0,
819,,2022,"IOCL-PARADIP,ODISHA",274.67,
820,,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.82,
821,,2022,"HPCL-MUMBAI,MAHARASHTRA",786.46,
822,,2022,"HMEL-GGSR, BATHINDA, PUNJAB",932.59,
823,,2022,HPCL-TOTAL,2533.1,
824,,2022,"RIL,JAMNAGAR,GUJARAT",2784.11,
825,,2022,"NEL-VADINAR,GUJARAT",1692.16,
826,,2022,"IOCL-BARAUNI,BIHAR",568.94,
827,,2022,"IOCL-PANIPAT, HARYANA",1184.84,
828,,2022,"IOCL-GUWAHATI,ASSAM",93.19,
829,,2022,"CPCL-MANALI, TAMILNADU",723.13,
830,,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1114.49,
831,,2022,"IOCL-BARAUNI,BIHAR",573.35,
832,,2022,"IOCL-MATHURA, UTTAR PRADESH",836.84,
833,,2022,"BPCL-MUMBAI, MAHARASHTRA",1216.45,
834,,2022,"BPCL-KOCHI, KERALA",1380.82,
835,,2022,BORL-BINA,691.93,
836,,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2677.79,
837,,2022,"IOCL-DIGBOI,ASSAM",61.96,
838,,2022,CPCL-TOTAL,960.42,
839,,2022,"BPCL-MUMBAI, MAHARASHTRA",1344.11,
840,,2022,BORL-BINA,712.61,
841,,2022,"MRPL-MANGALORE,KARNATAKA",1504.05,
842,,2023,"IOCL-MATHURA, UTTAR PRADESH",805.76,
843,,2023,"IOCL-PANIPAT, HARYANA",1334.66,
844,,2023,IOCL TOTAL,6541.94,
845,,2023,"BPCL-KOCHI, KERALA",1533.08,
